DATED,ACCC_NO,CLASS_NO,BOOK_NO,AUTHOR_1,AUTHOR_2,TITLE,PUBLISHER_NAME,PLACE,COLLN_TYPE,TYPE_OF_MATERIAL,YEAR,EDITION,PG_COUNT,ILLUST,BK_SIZE,ISBN,LANGUAGE,SCRIPT_USED,TRANSLATED,SUBJECT_HEAD,PHY_MED,PRICE,TYPE_OF_BINDING,DOC_NO,SERIES_NAME,ISSN_NO,VOL_NO,PEGINATION,TITLE_VOLUME,ENTRY_ELEMENT,OTHER_NAME,ADDRESS,COUNTRY,BIBLIO_GRAPHY,MEETING_NAME,COUNTTRY_MEETING,PLACE_MEETING,DATE_MEETING,NUMBER_MEETING,KEY,ISSUE,CUR,FCUR,REMARKS,WRITTENOFF,NOOFCOPIES,EDITOR,BK_INFO,ISSUED,COND_BOOK,AVAILABILITY,NEW_CLASS_NO,ORDER_NO,WITH_MEDIA,REFERENCE,BK_BINDING,EDITOR_TYPE,DISC_PR,ACTUAL_PR,SNO,ACCREGDATE,ALMIRAH_NO,SHELF_NO,ISS,ACCCC_NO,HINDI
2019-06-01,1078,0,0,"KUMAR,N.","BANKING LAW & PRACTICE-KUMAR,N.",BANKING LAW & PRACTICE,"ANMOL PUBS,NEW DELHI",,,,2002,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1157,0,0,"KRISHNAMURTI,J.","BEYOND VOILENCE-KRISHNAMURTI,J.",BEYOND VOILENCE,BI PUBS BOMBAY,,,,1979,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1504,0,0,SRIVASTAVA ASEEM,CHURNING THE EARTH-SRIVASTAVA ASEEM,CHURNING THE EARTH,PENGUIN BOOKS N.D.,,,,2014,,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1614,0,0,KRISHAN PRAKASH,A BUREAUCRAT'S DAIRY-KRISHAN PRAKASH,A BUREAUCRAT'S DAIRY,VIKASH PUB HOUSE LBS MASSORIES,,,,1977,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1763,0,0,BOSSIDY LARRY,EXECUTION : THE DISCIPLINE OF GETTING THING DONE-BOSSIDY LARRY,EXECUTION : THE DISCIPLINE OF GETTING THING DONE,RANDOM HOUSE,,,,2011,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,1825,0,0,SRICHAITANYA SARAWASTI MATH,THE DEVINE SENITOR-SRICHAITANYA SARAWASTI MATH,THE DEVINE SENITOR,SRICHAITANYA SARAWASTI MATH,,,,1990,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,23,0,0,"SWAMI,PRABHUPAAD","SHIR MADBHAGWAT GEETA-YATHAROOP-SWAMI,PRABHUPAAD",SHIR MADBHAGWAT GEETA-YATHAROOP,"MUKTI VEDANT BOOK TRUST,MUMBAI",,,,1990,,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,54,0,0,"BHARDWAJ,BHAGWAN SARAN","RAM CHARIT MANAS AUR ADHUNIK JEEVAN KI SAMASYAEIN-BHARDWAJ,BHAGWAN SARAN",RAM CHARIT MANAS AUR ADHUNIK JEEVAN KI SAMASYAEIN,"LOKWADI SANSTHAN,DELHI",,,,2004,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,99,0,0,"SHARMA,SHRI RAM","ATARV VEDA I-SHARMA,SHRI RAM",ATARV VEDA I,"SANSKRITI SANSTHAN,BAREILY",,,,2009,,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,133,0,0,SWAMI PRABHUPAAD,KRISHNA KI OAR-SWAMI PRABHUPAAD,KRISHNA KI OAR,"BHAKTI VEDANT BOOK TRUST,MUMBAI",,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,194,0,0,"CHATOPADHYAY,SHARAT CHANDRA","CHARITRAHEEN-CHATOPADHYAY,SHARAT CHANDRA",CHARITRAHEEN,"SUBODH PUBLICATION,DELHI",,,,,,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,240,0,0,"AGARWAL,PRAMOD KUMAR","SAHIB GANJ KI BAHU-AGARWAL,PRAMOD KUMAR",SAHIB GANJ KI BAHU,"SARASWATI PRAKASHAN,ALLAHABAD",,,,1989,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,284,0,0,PARASNATH,EK LOTA CHANI-PARASNATH,EK LOTA CHANI,"GEETA PRESS,GORAKHPUR",,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,326,0,0,VERMA VRINDALAL,RANI LASKSHMIBAI-VERMA VRINDALAL,RANI LASKSHMIBAI,NATIONAL BOOK TRUST,,,,1997,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,350,0,0,RAVINDRA NATH THAKUR,UJHDA GHAR / DO BADAN-RAVINDRA NATH THAKUR,UJHDA GHAR / DO BADAN,HIND POCKET DELHI,,,,1986,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,377,0,0,ROHAN BOOK COMPANY,RANASANGA-ROHAN BOOK COMPANY,RANASANGA,ROHAN BOOK COMPANY DELHI,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
