DATED,ACCC_NO,CLASS_NO,BOOK_NO,AUTHOR_1,AUTHOR_2,TITLE,PUBLISHER_NAME,PLACE,COLLN_TYPE,TYPE_OF_MATERIAL,YEAR,EDITION,PG_COUNT,ILLUST,BK_SIZE,ISBN,LANGUAGE,SCRIPT_USED,TRANSLATED,SUBJECT_HEAD,PHY_MED,PRICE,TYPE_OF_BINDING,DOC_NO,SERIES_NAME,ISSN_NO,VOL_NO,PEGINATION,TITLE_VOLUME,ENTRY_ELEMENT,OTHER_NAME,ADDRESS,COUNTRY,BIBLIO_GRAPHY,MEETING_NAME,COUNTTRY_MEETING,PLACE_MEETING,DATE_MEETING,NUMBER_MEETING,KEY,ISSUE,CUR,FCUR,REMARKS,WRITTENOFF,NOOFCOPIES,EDITOR,BK_INFO,ISSUED,COND_BOOK,AVAILABILITY,NEW_CLASS_NO,ORDER_NO,WITH_MEDIA,REFERENCE,BK_BINDING,EDITOR_TYPE,DISC_PR,ACTUAL_PR,SNO,ACCREGDATE,ALMIRAH_NO,SHELF_NO,ISS,ACCCC_NO,HINDI
2019-06-01,6,0,0,SWAMI ADGADANAND,SHRI MADBHAGWATGEETA- YATHARTHAGEETA-SWAMI ADGADANAND,SHRI MADBHAGWATGEETA- YATHARTHAGEETA,SHRI PARAMHANS SWAMI ADGADANAND SHRI ASHRAM TRUST,,,,1994,,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,10,0,0,SWAMI ADGADANAND,JEEVANADARSH EVAM AATMANUBHOOTI-SWAMI ADGADANAND,JEEVANADARSH EVAM AATMANUBHOOTI,SHRI PARAMHANS SWAMI ADGADANAND SHRI ASHRAM TRUST,,,,2010,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,15,0,0,"MISHRA,S.K.","BHARTIYA SANSKRITI KA VISHVA SAMRAJYA-MISHRA,S.K.",BHARTIYA SANSKRITI KA VISHVA SAMRAJYA,"PUSTAK PATH,DELHI",,,,2011,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,16,0,0,BHARTIYA ITIHAAS ANUSANDHAN PARISHAD,HINDU DHARAM KYA HAI? MAHATMA GANDHI-BHARTIYA ITIHAAS ANUSANDHAN PARISHAD,HINDU DHARAM KYA HAI? MAHATMA GANDHI,NATIONAL BOOK TRUST,,,,1993,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,22,0,0,"SWAMI,PRABHUPAAD","SHIR MADBHAGWAT GEETA-YATHAROOP-SWAMI,PRABHUPAAD",SHIR MADBHAGWAT GEETA-YATHAROOP,"MUKTI VEDANT BOOK TRUST,MUMBAI",,,,1990,,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,28,0,0,"GEETA PRESS,GORAKHPUR","SHRI MADBHAGWATGEETA-GEETA PRESS,GORAKHPUR",SHRI MADBHAGWATGEETA,"GEETA PRESS,GORAKHPUR",,,,,,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,30,0,0,SOOCHNA EVAM PRASARAN MANTRALAYA,GYAN SAROWAR BHAG-3-SOOCHNA EVAM PRASARAN MANTRALAYA,GYAN SAROWAR BHAG-3,"SOOCHNA EVAM PRASARAN MANTRALAYA,NEW DELHI",,,,1981,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,32,0,0,GEHARI RAM,SHRI RADHA KA NYAY-GEHARI RAM,SHRI RADHA KA NYAY,"AKHANDANAND SARASWATI SEWA SANSTHAN,VARANASI",,,,2010,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,35,0,0,"JAIN,MADHU ED.","BAUDH SANSPARSH-JAIN,MADHU ED.",BAUDH SANSPARSH,"SADHU RAMSWAROOP MAHILA VISHWVIDYALAAY,BAREILY",,,,2009,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,39,0,0,KIRAN VARIYA,CHANAKYA NEETI EVAM SOOTRA SANGRAH-KIRAN VARIYA,CHANAKYA NEETI EVAM SOOTRA SANGRAH,"LAXMI PRAKASHAN,DELHI",,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,43,0,0,SHRI RAM SHARMA,SUNSAAN KE SAHCHAR-SHRI RAM SHARMA,SUNSAAN KE SAHCHAR,"YUG NIRMAN YOJNA,MATHURA",,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,46,0,0,GAYA PRASAD,AMRIT VACHAN-GAYA PRASAD,AMRIT VACHAN,"GIRIRAJ BABA TRUST,MATHURA",,,,2000,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,47,0,0,YOG ANUSANDHAN SANSTHAN,YOGAMRATAM-YOG ANUSANDHAN SANSTHAN,YOGAMRATAM,"YOG ANUSANDHAN SANSTHAN,LUCKNOW",,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,57,0,0,"JOSHI,DINKAR","SHYAM- PHIR EK BAAR TUM MIL JAATE-JOSHI,DINKAR",SHYAM- PHIR EK BAAR TUM MIL JAATE,"VIDYA VIHAR,DELHI",,,,2013,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,64,0,0,"SATVALEKAR,SHRIPAD DAMODAR","SHRI MADBHAGWAT GEETA-SATVALEKAR,SHRIPAD DAMODAR",SHRI MADBHAGWAT GEETA,"BASANT SHRIPAD SATVALEKAR,BALSAD",,,,1983,,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,66,0,0,"GEETA PRESS,GORAKHPUR","SHRI MADBHAGWAT PURAN -PRATHAM KHAND-GEETA PRESS,GORAKHPUR",SHRI MADBHAGWAT PURAN -PRATHAM KHAND,"GEETA PRESS,GORAKHPUR",,,,,,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,71,0,0,BIBLE SOCIETY OF INDIA,PAVITRA BIBLE-BIBLE SOCIETY OF INDIA,PAVITRA BIBLE,"BIBLE SOCIETY OF INDIA,BANGLORE",,,,1999,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,77,0,0,AYODHYA SHODH SANSTHAN,RAGHUNATH GAATHA KHAND II-AYODHYA SHODH SANSTHAN,RAGHUNATH GAATHA KHAND II,"AYODHYA SHODH SANSTHAN,AYODHYA",,,,1911,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,83,0,0,TULSIDAS,VINAY PATRIKA-TULSIDAS,VINAY PATRIKA,"GEETA PRESS,GORAKHPUR",,,,,,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,85,0,0,"GUPTA,DAUDAYAL","SHIR HANUMACHCHARIT MANAS-GUPTA,DAUDAYAL",SHIR HANUMACHCHARIT MANAS,"MANAS SANSTHAN,MATHURA",,,,1992,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,90,0,0,"SHARMA,SHRI RAM","VEDANT DARSHAN-SHARMA,SHRI RAM",VEDANT DARSHAN,"SANSKRITI SANSTHAN,BAREILY",,,,1994,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,92,0,0,"BHARGAVA,DEENANATH","SHRI HARIGEETA-BHARGAVA,DEENANATH",SHRI HARIGEETA,"MANAV DHARM KARYALAYA,NEW DELHI",,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,104,0,0,"SHARMA,SHRI RAM","RIGVEDA IV-SHARMA,SHRI RAM",RIGVEDA IV,"SANSKRITI SANSTHAN,BAREILY",,,,2008,,1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,109,0,0,"SHARMA,SHRI RAM","108 UPNISHAD (SADHNA KHAND)-SHARMA,SHRI RAM",108 UPNISHAD (SADHNA KHAND),"SANSKRITI SANSTHAN,BAREILY",,,,2003,,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,114,0,0,RAM KRISHNA INSTITUTE,SABKE SWAMI JI-RAM KRISHNA INSTITUTE,SABKE SWAMI JI,"RAM KRISHNA INSTITUTE,KOLKATA",,,,2010,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,116,0,0,RAJGOPALACHARYA,BHAGWATGEETA-RAJGOPALACHARYA,BHAGWATGEETA,"HINDUSTAN TIMES,NEW DELHI",,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,127,0,0,PRAKASHANAND SARASWATI,SARV BHAUM ADHAYMIK VIGYAN-PRAKASHANAND SARASWATI,SARV BHAUM ADHAYMIK VIGYAN,"SWAMI PARMANAND YOGSADHNASHRAM,MERRUT",,,,,,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,132,0,0,SHIVANAND MATH,BHENT-SWAMI SHIVANAND SARASWATI EVAM SWAMI SATYANAND SARASWATI-SHIVANAND MATH,BHENT-SWAMI SHIVANAND SARASWATI EVAM SWAMI SATYANAND SARASWATI,"SHIVANAND MATH,MUNGER",,,,2007,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,142,0,0,"MISHRA,SHIVDUTT","VINDHACHAL MAHATMYA-MISHRA,SHIVDUTT",VINDHACHAL MAHATMYA,"THAKUR PRASAD PUSTAK BHANDAR,VARANASI",,,,2000,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,143,0,0,ADGADANAND JI,"ARYA SANATAN AUR HINDU DHARM, DHARM PARIVARTAN HOTA HI NAHI-ADGADANAND JI","ARYA SANATAN AUR HINDU DHARM, DHARM PARIVARTAN HOTA HI NAHI","ADGADANAND ASHRAM TRUST,MUMBAI",,,,2011,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,149,0,0,SHRI RAM SANSKRITI SODH SANSTHAN,JAHN JAHN RAM CHARAN CHAKI JAHI-SHRI RAM SANSKRITI SODH SANSTHAN,JAHN JAHN RAM CHARAN CHAKI JAHI,SHRI RAM SANSKRITI SHODH SANSTHAN,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,155,0,0,"JOSHI,YOGENDRA","SHRI GANGA SAGAR MAHATMYA-JOSHI,YOGENDRA",SHRI GANGA SAGAR MAHATMYA,YOGENDRA DOSHI JOONAGARH,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,160,0,0,AKHANDANAND SARASWATI,UNKI KRIPA-AKHANDANAND SARASWATI,UNKI KRIPA,"SATSAHITYA PRAKASHAN TRUST,MUMBAI",,,,2012,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,165,0,0,SWAMI ABHEDANAND,HINDUON ME ISAMASEEH KE PRATI AASTHA LEKIN GIRIJA DHARMMAT KE PRATI ANASHTHA: AISA KYON-SWAMI ABHEDANAND,HINDUON ME ISAMASEEH KE PRATI AASTHA LEKIN GIRIJA DHARMMAT KE PRATI ANASHTHA: AISA KYON,"SHRI RAMKRISHAN VEDANT MATH,KOLKATA",,,,2006,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,171,0,0,JAGDEESHWANAND SARASWATI,DHARM SHIKHSA-JAGDEESHWANAND SARASWATI,DHARM SHIKHSA,PRAHALAD KUMAR ARYA DHARMARTH TRUST,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,173,0,0,OMANAND SARASWATI,SATYA DHARM PRAKASHINI-OMANAND SARASWATI,SATYA DHARM PRAKASHINI,"ARYA DHARMARTH NYAS HINDON,RAJASTHAN",,,,2008,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,176,0,0,DHARAMVEER BHARTI,BAND GALI KA AAKHRI MAKAAN-DHARAMVEER BHARTI,BAND GALI KA AAKHRI MAKAAN,"BHARTIAY GYANPEETH,NEW DELHI",,,,2005,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,179,0,0,PREMCHANDRA,GABAN-PREMCHANDRA,GABAN,HANS PRAKASHAN,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,182,0,0,PREMCHANDRA,GABAN-PREMCHANDRA,GABAN,"DIAMOND POCKET BOOKS,DELHI",,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,187,0,0,"NAGAR,AMRIT LAL","MANAS KA HANS-NAGAR,AMRIT LAL",MANAS KA HANS,"RAJPAL AND SONS ,NEW DELHI",,,,1981,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,189,0,0,"NAGAR,AMRIT LAL","SHATRANJ KE MOHRE-NAGAR,AMRIT LAL",SHATRANJ KE MOHRE,"BHARTIYA GYANPEETH,NEW DELHI",,,,,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,196,0,0,"CHATOPADHYAY,SHARAT CHANDRA","DEHATI SAMAJ-CHATOPADHYAY,SHARAT CHANDRA",DEHATI SAMAJ,"DIAMOND POCKET BOOKS,DELHI",,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,198,0,0,DWIVEDI PRABHAKAR,GYAN GANGA-DWIVEDI PRABHAKAR,GYAN GANGA,"SUMAN PRAKASHAN,DELHI",,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,201,0,0,"KOHLI,NARENDRA","BANDHAN-KOHLI,NARENDRA",BANDHAN,VANI PRAKASHAN,,,,2000,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,203,0,0,"RENU,PHADISHWARNATH","MAILA AANCHAL-RENU,PHADISHWARNATH",MAILA AANCHAL,"RAJKAMAL,DELHI",,,,2007,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,207,0,0,SHIVANI,KRISHNAKALI-SHIVANI,KRISHNAKALI,"BHARTIYA GYANPEETH,NEW DELHI",,,,2006,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,219,0,0,"DWIVEDI,HAJARI PRASAD","CHARU CHANDRA LEKH-DWIVEDI,HAJARI PRASAD",CHARU CHANDRA LEKH,"RAJKAMAL,DELHI",,,,1993,,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,224,0,0,"RAI,VIVEKI","SAMAR SHESH HAI-RAI,VIVEKI",SAMAR SHESH HAI,"PRABHAT PRAKASHAN,DELHI",,,,1988,,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,229,0,0,AMRITA PRITAM,ADALAT-AMRITA PRITAM,ADALAT,HIND POCKET BOOKS,,,,1995,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,232,0,0,ABID SURTI,GULMOHAR KE AANSOO-ABID SURTI,GULMOHAR KE AANSOO,"BHARAT PRAKASHAN,DELHI",,,,1989,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,244,0,0,"AGARWAL,SHUSHMA","NAYA RASTA-AGARWAL,SHUSHMA",NAYA RASTA,"FRANK BROTHERS,NEW DELHI",,,,1999,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,249,0,0,"BANKIM CHANDRA,CHATTERJEE","ANAND MATH-BANKIM CHANDRA,CHATTERJEE",ANAND MATH,"RAJKAMAL,DELHI",,,,1990,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,254,0,0,"JAMUNA,K.A.","CHITRA PRIYA-JAMUNA,K.A.",CHITRA PRIYA,"RAJKAMAL,DELHI",,,,1978,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,255,0,0,"MISHRA,KESHAV PRASAD","KOHVAR KI SHART-MISHRA,KESHAV PRASAD",KOHVAR KI SHART,"RAJKAMAL,DELHI",,,,2007,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,263,0,0,"AGARWAL,BALRAM","SHARATCHANDRA KI ANMOL KAHANIYA-AGARWAL,BALRAM",SHARATCHANDRA KI ANMOL KAHANIYA,"SAKSHI PRAKASHAN,DELHI",,,,1998,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,270,0,0,NATIONAL BOOK TRUST,TERAH ANUPAM KAHANIYA-NATIONAL BOOK TRUST,TERAH ANUPAM KAHANIYA,NATIONAL BOOK TRUST,,,,1983,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,278,0,0,"MISHRA,PRATAP NARAYAN","MEWAD KI KATHAYEIN BHAG-4-MISHRA,PRATAP NARAYAN",MEWAD KI KATHAYEIN BHAG-4,"LOKHIT PRAKASHAN,DELHI",,,,1994,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,281,0,0,SUDARSHAN SINGH,SANSKRITIK KAHANIYAN BHAG-5-SUDARSHAN SINGH,SANSKRITIK KAHANIYAN BHAG-5,"SHRI KRISHNA JANM SEVA SANSTHAN SEVA SANGH,MATHURA",,,,1977,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,287,0,0,"SHUKLA,SOMNATH","GALI AABAD HAI-SHUKLA,SOMNATH",GALI AABAD HAI,"DEVESH PRAKASHAN,SULTANPUR,U.P.",,,,1992,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,294,0,0,BALWANT SINGH,CHILMAN-BALWANT SINGH,CHILMAN,"RAJKAMAL,DELHI",,,,1970,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,296,0,0,KHUSWANT SINGH,PAKISTAN MAIL-KHUSWANT SINGH,PAKISTAN MAIL,"RAJKAMAL,DELHI",,,,1996,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,301,0,0,"RAI,PRATIMA","DRAUPDI-RAI,PRATIMA",DRAUPDI,"RAJPAL AND SONS ,NEW DELHI",,,,1999,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,305,0,0,PREMCHANDRA,MANSAROVAR -7-PREMCHANDRA,MANSAROVAR -7,"RAJKAMAL,DELHI",,,,2001,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,311,0,0,PREMCHANDRA,MANSAROVER-2-PREMCHANDRA,MANSAROVER-2,HANS PRAKASHAN,,,,1984,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,312,0,0,PREMCHANDRA,MANSAROVER-5-PREMCHANDRA,MANSAROVER-5,"RAJKAMAL,DELHI",,,,2001,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,322,0,0,GIRIRAJ SHARAN SAMPADAN,SHIKSHA JAGAT KI KAHANIYA-GIRIRAJ SHARAN SAMPADAN,SHIKSHA JAGAT KI KAHANIYA,"PRABHAT PRAKASHAN,DELHI",,,,1986,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,331,0,0,"MOHAN,RAKESH","MERI PRIY KAHANIYA-MOHAN,RAKESH",MERI PRIY KAHANIYA,"RAJKAMAL,DELHI",,,,1985,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,335,0,0,CHATUR SEN,MERI PRIY KAHANIYA-CHATUR SEN,MERI PRIY KAHANIYA,"RAJPAL AND SONS ,NEW DELHI",,,,2012,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,338,0,0,JAI SHANKER PRASAD,AAKASH DEEP-JAI SHANKER PRASAD,AAKASH DEEP,BHARITYA GRANTH NIKETAN,,,,1990,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,343,0,0,"SINGH,KANSHINATH","PRATINIDHI KAHANIYAAN-SINGH,KANSHINATH",PRATINIDHI KAHANIYAAN,"RAJKAMAL,DELHI",,,,2012,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,344,0,0,"SINGH,KANSHINATH","KASHI KI ASSI-SINGH,KANSHINATH",KASHI KI ASSI,"RAJKAMAL,DELHI",,,,2012,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,347,0,0,"VIDHYA LANKAAR,SATYAKAAM","SWAMI VIVEKANAND-VIDHYA LANKAAR,SATYAKAAM",SWAMI VIVEKANAND,SHIKSHA BHARTI DELHI,,,,1996,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,351,0,0,NARENDRA BAAM,AB JAWAAB DO-NARENDRA BAAM,AB JAWAAB DO,NATIONAL BOOK TRUST DELHI,,,,1991,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,355,0,0,"NAGAYACH,PRAKASH","CHANDRAGUPT VIKRAMADTYA-NAGAYACH,PRAKASH",CHANDRAGUPT VIKRAMADTYA,INTERUNIVERSITY PRESS DELHI,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,359,0,0,"KAPOOR,SHYAMCHANDRA","ANUPAM HINDI VYAKARAN TATHA RACHNA BHAAG-2-KAPOOR,SHYAMCHANDRA",ANUPAM HINDI VYAKARAN TATHA RACHNA BHAAG-2,PITAMBER PUBLISHING DELHI,,,,1994,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,360,0,0,SHEEMANATH,GULAAB AUR CHAMPA-SHEEMANATH,GULAAB AUR CHAMPA,SAHITYA BHUSHAN VARANASI,,,,1984,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,366,0,0,"DIXIT,RAJESH","GORA BADAL-DIXIT,RAJESH",GORA BADAL,BHASHA BHAWAN MATHURA,,,,1990,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,369,0,0,"DIXIT,RAJESH","BHARAT DESH KI KAHANI-DIXIT,RAJESH",BHARAT DESH KI KAHANI,RASHTRIYA PRAKASHAN MANDIR BHOPAL,,,,1981,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,372,0,0,KHARE SANDEEP SAMPADAK,BAAL BAGIYA MASHIK PATRIKA MAY 2001-KHARE SANDEEP SAMPADAK,BAAL BAGIYA MASHIK PATRIKA MAY 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,374,0,0,GEETA PRESS,GOPAL -GEETA PRESS,GOPAL,GEETA PRESS GORAKHPUR,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,378,0,0,GEETA PRESS,ASHT VINAYAK-GEETA PRESS,ASHT VINAYAK,GEETA PRESS GORAKHPUR,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,381,0,0,MISHRA PRATAPNARAYAN,MEWAAD KI KATHAE-MISHRA PRATAPNARAYAN,MEWAAD KI KATHAE,LOKHIT PRAKASHAN LUCKNOW,,,,1998,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,386,0,0,"FAROOQUI,NISAR AHMAD(SAMPADAK)","GALIB KI AAPBITI-FAROOQUI,NISAR AHMAD(SAMPADAK)",GALIB KI AAPBITI,GALIB INSTITUTE DELHI,,,,1997,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,389,0,0,RAKESHCHAKRA,CHARWAHO KA CHAKRAVIEW-RAKESHCHAKRA,CHARWAHO KA CHAKRAVIEW,SHABD SHASTI DELHI,,,,2000,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
